feature,coefficient,abs_coefficient
Low,0.24866472041034743,0.24866472041034743
Open,-0.2135997668771632,0.2135997668771632
Close,-0.19846411051672724,0.19846411051672724
High,0.15929438972793628,0.15929438972793628
Range_Pct,0.003941095365513211,0.003941095365513211
MA_50,0.0023986254988204677,0.0023986254988204677
Return,0.0015990593555720387,0.0015990593555720387
Return_20d,0.001585757160083685,0.001585757160083685
Volatility_20d,0.0013797842993771888,0.0013797842993771888
Lag_2,-0.0012303028284246689,0.0012303028284246689
Vol_Ratio,0.0009464326123848481,0.0009464326123848481
Volatility_5d,-0.0008231366382721402,0.0008231366382721402
ATR_14,-0.0007423180117534096,0.0007423180117534096
Lag_3,0.0006095843791910652,0.0006095843791910652
Lag_1,-0.00040367774291564493,0.00040367774291564493
Lag_5,-4.939290120119529e-05,4.939290120119529e-05
